comparison,model_a,model_b,metric,test,statistic,p_value,n_datasets,effect_size_dz,adjusted_p,significant,correction,view_name
DLG-Base vs OCGNN,DLG-Base,OCGNN,pr_auc,wilcoxon,0.0,0.0625,5,1.3805206558036431,1.0,False,holm,broad_complete_case
DOMINANT vs GADNR,DOMINANT,GADNR,pr_auc,wilcoxon,0.0,0.0625,5,1.3364191559769465,1.0,False,holm,broad_complete_case
DOMINANT vs OCGNN,DOMINANT,OCGNN,pr_auc,wilcoxon,0.0,0.0625,5,1.3452638911636785,1.0,False,holm,broad_complete_case
GADNR vs OCGNN,GADNR,OCGNN,pr_auc,wilcoxon,0.0,0.0625,5,0.8019166676728259,1.0,False,holm,broad_complete_case
AnomalyDAE vs CONAD,AnomalyDAE,CONAD,validation_f1,wilcoxon,6.0,0.8125,5,-0.13171231524105734,1.0,False,holm,broad_complete_case
AnomalyDAE vs CoLA,AnomalyDAE,CoLA,validation_f1,wilcoxon,0.0,0.0625,5,2.323336489398814,1.0,False,holm,broad_complete_case
AnomalyDAE vs DLG-Aug,AnomalyDAE,DLG-Aug,validation_f1,wilcoxon,6.0,0.8125,5,-0.12736383301366536,1.0,False,holm,broad_complete_case
AnomalyDAE vs DLG-Base,AnomalyDAE,DLG-Base,validation_f1,wilcoxon,6.0,0.8125,5,-0.12051269952682638,1.0,False,holm,broad_complete_case
AnomalyDAE vs DOMINANT,AnomalyDAE,DOMINANT,validation_f1,wilcoxon,6.0,0.8125,5,-0.13221092969735843,1.0,False,holm,broad_complete_case
AnomalyDAE vs GADNR,AnomalyDAE,GADNR,validation_f1,wilcoxon,0.0,0.0625,5,1.0904206583344498,1.0,False,holm,broad_complete_case
AnomalyDAE vs OCGNN,AnomalyDAE,OCGNN,validation_f1,wilcoxon,0.0,0.0625,5,2.73469210239635,1.0,False,holm,broad_complete_case
CONAD vs CoLA,CONAD,CoLA,validation_f1,wilcoxon,0.0,0.0625,5,1.6128143598518978,1.0,False,holm,broad_complete_case
CONAD vs DLG-Aug,CONAD,DLG-Aug,validation_f1,wilcoxon,5.0,1.0,5,0.3263547832459038,1.0,False,holm,broad_complete_case
CONAD vs DLG-Base,CONAD,DLG-Base,validation_f1,wilcoxon,6.0,0.8125,5,0.3490958863479768,1.0,False,holm,broad_complete_case
CONAD vs DOMINANT,CONAD,DOMINANT,validation_f1,wilcoxon,0.0,1.0,5,-0.4472135954999579,1.0,False,holm,broad_complete_case
CONAD vs GADNR,CONAD,GADNR,validation_f1,wilcoxon,0.0,0.0625,5,1.3571186574186422,1.0,False,holm,broad_complete_case
CONAD vs OCGNN,CONAD,OCGNN,validation_f1,wilcoxon,0.0,0.0625,5,1.9543686288506865,1.0,False,holm,broad_complete_case
CoLA vs DLG-Aug,CoLA,DLG-Aug,validation_f1,wilcoxon,0.0,0.0625,5,-1.605445268148903,1.0,False,holm,broad_complete_case
CoLA vs DLG-Base,CoLA,DLG-Base,validation_f1,wilcoxon,0.0,0.0625,5,-1.5735785257339545,1.0,False,holm,broad_complete_case
CoLA vs DOMINANT,CoLA,DOMINANT,validation_f1,wilcoxon,0.0,0.0625,5,-1.6136524695856507,1.0,False,holm,broad_complete_case
